date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2024-02-12,Bhutan,Thailand,"Terdthai Cricket Ground, Bangkok",Bhutan,bat,T20,2023/24,Thailand
2024-02-12,Saudi Arabia,Maldives,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,bat,T20,2023/24,Saudi Arabia
2024-02-13,Bhutan,Maldives,"Terdthai Cricket Ground, Bangkok",Bhutan,bat,T20,2023/24,Maldives
2024-02-13,Thailand,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,T20,2023/24,Saudi Arabia
2024-02-13,West Indies,Australia,Perth Stadium,West Indies,bat,T20,2023/24,West Indies
2024-02-14,Hong Kong,China,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,T20,2023/24,Hong Kong
2024-02-14,Japan,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,T20,2023/24,Hong Kong
2024-02-15,Japan,China,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,T20,2023/24,Japan
2024-02-15,Hong Kong,Japan,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,T20,2023/24,Hong Kong
2024-02-15,Maldives,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,field,T20,2023/24,Thailand
2024-02-15,Saudi Arabia,Bhutan,"Terdthai Cricket Ground, Bangkok",Bhutan,field,T20,2023/24,Saudi Arabia
2024-02-16,China,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",China,bat,T20,2023/24,Hong Kong
2024-02-16,Japan,China,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,T20,2023/24,Japan
2024-02-16,Thailand,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,T20,2023/24,Saudi Arabia
2024-02-16,Maldives,Bhutan,"Terdthai Cricket Ground, Bangkok",Maldives,bat,T20,2023/24,Bhutan
2024-02-17,Hong Kong,Japan,"Mission Road Ground, Mong Kok, Hong Kong",Japan,field,T20,2023/24,Hong Kong
2024-02-17,Sri Lanka,Afghanistan,N) -Afghanistan in Sri Lanka T20I Series 2024 1st T20I (N) -Afghanistan in Sri Lanka T20I Series 2024 T20I 1ST Rangiri Dambulla International Stadium,,,T20,2024,Sri Lanka
2024-02-19,Sri Lanka,Afghanistan,N) -Afghanistan in Sri Lanka T20I Series 2024 2nd T20I (N) -Afghanistan in Sri Lanka T20I Series 2024 T20I 2ND Rangiri Dambulla International Stadium,,,T20,2024,Sri Lanka
2024-02-21,Afghanistan,Sri Lanka,N) -Afghanistan in Sri Lanka T20I Series 2024 3rd T20I (N) -Afghanistan in Sri Lanka T20I Series 2024 T20I 3RD Rangiri Dambulla International Stadium,,,T20,2024,Afghanistan
2024-02-21,New Zealand,Australia,"Sky Stadium, Wellington",New Zealand,bat,T20,2023/24,Australia
2024-02-23,Australia,New Zealand,"Eden Park, Auckland",New Zealand,field,T20,2023/24,Australia
2024-02-25,Australia,New Zealand,"Eden Park, Auckland",New Zealand,field,T20,2023/24,Australia
2024-02-27,Hong Kong,Qatar,University of Doha for Science and Technology,Qatar,field,T20,2023/24,Hong Kong
2024-02-27,Namibia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,bat,T20,2023/24,Namibia
2024-02-28,Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,T20,2023/24,Netherlands
2024-02-29,Netherlands,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,T20,2023/24,Netherlands
2024-02-29,Hong Kong,Qatar,University of Doha for Science and Technology,Hong Kong,bat,T20,2023/24,Qatar
2024-03-01,Nepal,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,field,T20,2023/24,Nepal
2024-03-01,Qatar,Hong Kong,"West End Park International Cricket Stadium, Doha",Hong Kong,field,T20,2023/24,No Result
2024-03-02,Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,T20,2023/24,Nepal
2024-03-03,Namibia,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,T20,2023/24,No Result
2024-03-04,Sri Lanka,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,T20,2023/24,Sri Lanka
2024-03-05,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,T20,2023/24,Netherlands
2024-03-05,Vanuatu,Tanzania,"Bayuemas Oval, Kuala Lumpur",Tanzania,field,T20,2023/24,Vanuatu
